,domain,fem_p_16,gdp_eurhab_16,robb_r_10,burg_r_10,he_p_16,medage_16
92,FRJ1,0.520157677,24700,18.6338539,50.01247627,27.6,43.9
93,FRJ2,0.513320147,30700,12.10892259,29.18280195,34.6,43
94,FRK1,0.515599329,26200,4.862871427,14.74264188,28.1,45.4
95,FRK2,0.513113075,33300,11.31609582,29.74747681,34.1,40.1
96,FRL0,0.521404528,30900,38.16263395,51.73710177,31.9,43.7
97,HU10,0.528581659, ,6.002108253,27.13473982,,
98,HU21,0.517621804,11000,2.969728567,13.69846225,16.6,42.4
99,HU22,0.517617561,12700,1.910699204,12.82607657,16.9,42.8
100,HU23,0.524060129,7600,2.02027378,25.00921334,16.4,43.8
101,HU31,0.523487623,7600,2.808321646,18.84349154,14.9,42.4
102,HU32,0.518358527,7300,2.401004352,19.40472727,14.8,41.1
103,HU33,0.523188032,8300,1.868661595,13.76158412,17.3,43.3
104,IE01,0.501214204, ,,,,
105,IE02,0.506482552, ,,,,
106,IS00,0.496976204, ,1.263047734,86.18797158,33.4,36.2
107,ITC1,0.515946203,29800,8.396442887,42.27738414,15.3,47.5
108,ITC2,0.512208531,34300,1.413660674,25.28881873,14.2,46.6
109,ITC3,0.524199375,31000,7.790952947,28.76414736,17.5,50
110,ITC4,0.511753337,36900,7.587665058,41.5253305,17.2,45.4
111,ITF1,0.513422032,24000,3.965283416,24.04047303,14.9,46.1
112,ITF3,0.513451892,17800,19.43478298,13.43565465,13.1,42
113,ITF4,0.514551774,18100,8.407800909,23.66840104,11.6,44.2
114,ITF5,0.509419656,20800,1.220162665,11.69613069,13.9,45.6
115,ITF6,0.51107905,16700,4.166410812,12.84431884,13.1,43.9
116,ITG1,0.51387404,17200,10.05072463,22.31063794,11.3,43.5
117,ITG2,0.509546853,20200,2.967183672,15.10730711,13.6,46.6
118,ITH1,0.506714457,42300,,,14.1,43
119,ITH2,0.510853308,35100,,,16.6,44.9
120,ITH3,0.512418713,32100,,,14.5,45.9
121,ITH4,0.515791611,30300,,,15.7,48.1
122,ITH5,0.515437218,34600,,,18.7,46.5
123,ITI1,0.518889819,30000,,,18,47.4
124,ITI2,0.520117687,24200,,,18.2,47.1
125,ITI3,0.515701356,26700,,,17.3,46.7
126,ITI4,0.517936741,32200,,,20.4,45.1
127,LT00,0.539698701, ,9.440696707,16.98079111,,
128,NL11,0.501374801,40200,4.933863952,49.06453597,31.2,41.6
129,NL12,0.499448951,28500,1.501455018,32.14971209,22.7,43.9
130,NL13,0.503748243,28400,1.698630249,36.71497189,24.5,46.1
131,NL21,0.498965288,34500,2.403257944,39.247387,27.2,41.7
132,NL22,0.505262729,34800,3.537473389,55.70537956,28.5,43.2
133,NL23,0.499695596,31100,7.99370403,61.94501916,25.4,38.3
134,NL31,0.509682298,50400,5.182107909,72.26685029,40.4,39.7
135,NL32,0.507169137,54600,11.55536341,69.17059207,37.2,41.2
136,NL33,0.506335334,41700,9.866651133,65.1740067,31.6,40.9
137,NL34,0.503963258,33200,2.386872725,38.92438597,22.5,45.8
138,NL41,0.499893347,41800,4.178090717,69.09457493,29.8,43.4
139,NL42,0.503810044,36700,4.649454428,61.00729221,25.9,47
140,NO01,0.50039267,75300,8.228894284,14.16488307,46.4,37.1
141,NO02,0.49994144,42600,0.832854009,16.29270654,30.1,43.9
142,NO03,0.499771519,43100,1.543517025,19.65953264,31.6,41.7
143,NO04,0.493650568,54200,2.447346257,17.50893997,33.9,37.3
144,NO05,0.492241661,55500,1.661579017,8.588567214,36.1,38.9
145,NO06,0.493860369,52000,1.223698819,9.81183962,36.4,38.9
146,NO07,0.491776937,51300,0.456721487,7.016902847,32.8,41.1
147,PL11,0.523302478,10400,6.223405328,10.30108698,,
148,PL12,0.521380198, ,4.733935006,10.26437336,,
149,PL21,0.514599414,10100,6.99693186,8.771690113,26.5,38.7
150,PL22,0.517374259,11500,8.445843187,15.37196551,24.1,41.4
151,PL31,0.515242187,7600,3.474110326,5.975847381,,
152,PL32,0.510076813,7800,1.804659092,3.988488579,,
153,PL33,0.512112538,7900,3.293354108,4.171045056,,
154,PL34,0.512257268,7900,4.236611746,7.006372175,,
155,PL41,0.513388425,12100,2.642738294,5.859228981,22.6,38.7
156,PL42,0.513191312,9300,4.602069447,13.87746619,22.7,40.6
157,PL43,0.512664166,9300,4.078956663,10.66497937,19.6,39.6
158,PL51,0.51874417,12300,8.168611308,14.09259994,25.4,40.8
159,PL52,0.515139776,8800,2.624514858,11.94679164,21.7,41.6
160,PL61,0.515578034,9100,3.695430566,10.32974686,20.7,39.8
161,PL62,0.510457089,7900,3.336316226,8.976952558,20.1,39.1
162,PL63,0.512782058,10800,5.335830121,11.50606989,26.4,38.7
163,PT11,0.525529042,15300,12.23993265,23.51421203,18.4,43.8
164,PT15,0.520547418,19200,25.09452876,91.82470487,18.8,43.5
165,PT16,0.525787506,15700,6.293310831,24.67686951,21.2,46
166,PT17,0.530378166,23800,44.44518711,20.87690095,28.8,43.1
167,PT18,0.518410637,16800,7.30268598,17.38011654,16.8,46.6
168,SE11,0.50228216,65400,13.60557022,27.45761816,43.6,38.2
169,SE12,0.499148475,40000,6.834164722,13.61951398,32.6,41.3
170,SE21,0.496378896,39900,3.58394584,16.40943764,28.7,42.9
171,SE22,0.501500123,39700,13.78880456,29.65997205,37.1,40.7
172,SE23,0.499393929,45500,10.47127885,19.90867171,34.3,40.8
173,SE31,0.497470632,37500,4.590180352,11.74370817,27.6,44.7
174,SE32,0.496761143,39200,3.259057351,10.96228382,27.9,44.5
175,SE33,0.492575681,42000,3.68341353,8.087918599,32.3,42.9
176,UKC,0.509411728,26800, ,,31,41.7
177,UKD,0.507032873,31700, ,,35,40.4
178,UKE,0.506608633,28700, ,,31.8,40.1
179,UKF,0.506019066,29200, ,,32.2,41.3
180,UKG,0.505013365,30200, ,,32.1,39.7
181,UKH,0.507190616,32800, ,,35.1,41.4
182,UKI,0.502501019,64600, ,,52.4,34.7
183,UKJ,0.507531523,39300, ,,40.9,41.2
184,UKK,0.508486882,31600, ,,38.2,43.4
185,UKL,0.507489484,26500, ,,34.8,42.2
186,UKM,0.514000258,33900,4.744969488,32.76571226,44.1,41.8
187,UKN,0.508783833,28100,7.032666899,38.13040912,31.1,38.3
