cntry,nuts1,nuts2,n2_tpopsz_2014,n2_tpopsz_2015,n2_fpopsz_2014,n2_fpopsz_2015,n2_mpopsz_2014,n2_mpopsz_2015,n2_pode_2014,n2_cnmigrat_2014,n2_grow_2014,n2_cnmigratrt_2014,n2_gdp_eurhab_2014,n2_gdp_eurhabeu_2014,n2_mio_eur_2014,n2_mio_pps_2014,n2_pps_hab_2014,n2_loun_ths_2015,n2_loun_pc_une_2015,n2_loun_pc_act_2015,n2_un1524_2015,n2_unall_2015,n2_uno25_2015,n2_unra1524_2015,n2_unraall_2015,n2_unrao25_2015,n2_liexle_2014,n2_infantm_2014,n2_infantmrt_2014,n2_hcide_2010,n2_robbr_2010,n2_dburg_2010,n2_vthft_2010
PL,PL4,PL41,3441440,3447689,1767403,1770154,1674037,1677535,117.2,306,6249,.1,11500,42,39811,69238,20000,38.1,47.3,2.8,21.1,80.5,59.4,16.1,5.8,4.7,77.8,160,4.3,26,912,2022,2055
PL,PL4,PL42,1691400,1688486,867724,866295,823676,822191,77.9,-2165,-2914,-1.3,8900,33,15371,26733,15600,17.4,39,2.9,9.5,44.8,35.2,23.3,7.5,6.3,77.6,83,5.3,36,775,2337,518
PL,PL4,PL43,1008564,1007442,517176,516628,491388,490814,73.4,-1285,-1122,-1.3,9000,33,9169,15946,15600,6.3,22.3,1.4, ,28.4,23.6, ,6.4,5.7,77.4,37,3.8,14,410,1072,465
PL,PL5,PL51,2869579,2868338,1488280,1487805,1381299,1380533,145.1,1495,-1241,.5,11900,43,34735,60409,20800,34,39.9,2.8,15.7,85.3,69.5,17.2,7,6.2,77.4,124,4.6,39,2340,4037,1517
PL,PL5,PL52,960226,956913,494882,493190,465344,463723,103.3,-2098,-3313,-2.2,8600,31,8672,15083,15000,8.4,30.7,2,5.5,27.2,21.8,16.6,6.5,5.7,78.1,40,4.7,11,250,1138,181
PL,PL6,PL61,2068417,2065846,1066152,1064989,1002265,1000857,118.2,-2574,-2571,-1.2,8700,32,18176,31610,15100,28,38.6,3.1,16.3,72.5,56.2,18.6,7.9,6.8,77.5,93,4.6,17,762,2130,823
PL,PL6,PL62,1421264,1418541,725374,723948,695890,694593,62.3,-3583,-2723,-2.5,7600,28,11047,19212,13300,26.7,45.8,4.3,10.6,58.2,47.6,24.1,9.5,8.3,77.4,67,4.8,22,472,1270,367
PL,PL6,PL63,2264817,2271559,1160521,1164413,1104296,1107146,129.1,2258,6742,1,10200,37,23393,40684,17700,23.8,33.8,2.2,18.6,70.4,51.7,18.6,6.6,5.4,78.2,82,3.3,30,1215,2620,1318
PT,PT1,PT11,3644195,3621785,1907357,1901150,1736838,1720635,170.7,-16127,-22410,-4.4,13900,50,50347,64612,17800,153.5,61.6,8.4,47.5,249.2,201.7,32.8,13.7,12,81.7,71,2.7,25,4411,8474,7410
PT,PT1,PT15,442358,441468,228702,228712,213656,212756,88.4,47,-890,.1,16600,61,7348,9430,21300,13.3,47.7,6,4.9,27.8,22.9,29.1,12.5,11.2,80.9,11,2.9,11,1109,4058,958
PT,PT1,PT16,2281164,2263992,1197936,1190176,1083228,1073816,80.6,-6106,-17172,-2.7,14400,52,32708,41975,18500,58.5,54.7,5,21.7,107,85.3,28.8,9.2,7.9,81.5,40,2.6,24,1420,5568,4185
PT,PT1,PT17,2807525,2809168,1486358,1487766,1321167,1321402,931.5,49,1643,0,22800,83,64010,82146,29300,101.4,56,7.3,27.6,181,153.4,30.9,13.1,11.8,81.7,85,3.1,44,12501,5872,6587
PT,PT1,PT18,743306,733370,383867,380139,359439,353231,23.4,-5146,-9936,-7,15000,55,11104,14250,19300,23.2,49.8,6.6,8.2,46.5,38.3,37.3,13.3,11.7,80.8,13,2.5,12,529,1259,866
PT,PT2,PT20,247440,246353,125794,125595,121646,120758,106.3,-1088,-1087,-4.4,15100,55,3731,4788,19400,9.4,60.1,7.7, ,15.6,11.7, ,12.8,10.5,77.5,8,3.5,4,142,776,142
PT,PT3,PT30,261313,258686,139267,137618,122046,121068,324.2,-1632,-2627,-6.3,15700,57,4085,5242,20200,11.9,61.4,9, ,19.4,15.2, ,14.7,12.4,77.4,8,4.6,4,250,632,122
SE,SE1,SE11,2163042,2198044,1089142,1105440,1073900,1092604,334.1,21136,35002,9.7,62200,226,135631,102933,47200,18.1,20.4,1.4,27.4,88.9,61.5,19.3,7,5.5,82.7,42,1.4,24,3036,6127,9696
SE,SE1,SE12,1605347,1621566,803151,810159,802196,811407,42,12704,16219,7.9,38200,139,61623,46767,29000,12.8,19,1.5,25.1,67.1,42,22.1,7.9,5.7,82.5,51,2.8,7,1120,2232,5077
SE,SE2,SE21,819426,826243,408214,410732,411212,415511,24.8,6010,6817,7.3,37500,137,30898,23449,28500,4.5,17.3,1,10.5,26,15.4,17.4,6,4.1,82.7,21,2.3,12,299,1369,2250
SE,SE2,SE22,1426826,1443065,717639,724928,709187,718137,103.2,12289,16239,8.6,37900,138,54404,41288,28800,17.8,24.5,2.3,21.8,72.5,50.6,23.1,9.5,7.6,82.2,49,2.8,10,2013,4330,4672
SE,SE2,SE23,1921924,1942677,962448,971566,959476,971111,66.1,15410,20753,8,42800,156,82765,62812,32500,12,17.4,1.2,25.1,69.1,44.1,18.7,6.6,4.8,82.4,44,1.9,23,2056,3909,8097
SE,SE3,SE31,829134,833585,414005,415631,415129,417954,13.1,5212,4451,6.3,35900,131,29832,22640,27200,5.7,17.6,1.4,12.1,32.7,20.6,23.3,7.9,5.7,81.7,26,3,5,385,985,2867
SE,SE3,SE32,368617,369826,183839,184079,184778,185747,5.2,1870,1209,5.1,38800,141,14314,10863,29400,2.3,17.5,1.2,4.8,13.2,8.4,20,7.1,5.2,81.1,8,2.1,6,121,407,1133
SE,SE3,SE33,510548,512349,252069,252580,258479,259769,3.4,1929,1801,3.8,41200,150,21067,15988,31300,2.9,15.3,1.1,7.2,18.9,11.7,19.7,7.2,5.2,81.5,10,1.9,4,189,415,1217
SI,SI0,SI01,1079655, ,541370, ,538285, , , , , , , , , , , , , , , , , , , , , , ,7,126,1040,160
