,domain,area,pop_16,fem_16,fem_p_16,male_16,popdens_16,netmig_16,netmig_r_16,gdp_eurhab_16,gdp_mil_16,pps_16,pps_hab_16,loun_ths_16,loun_p_act_16,un1524_ths_16,unall_ths_2016,unra1524_16,unraall_16,hcide_10,hcide_r_10,robb_10,robb_r_10,burg_10,burg_r_10,vthft_10,vthft_r_10,he_p_16,medage_16
27,CH07,27,351946,180480,0.512805942,171466,129.2,2611,0.741875174, , , , ,5.7,3.1,2.7,12.7,13.4,6.9,2,0.0568269,71,2.017354935,1131,32.13561171,293,8.325140789,31.7,45.8
28,CZ01,28,1267449,652780,0.51503453,614669,2626.8,10271,0.810367912,34900,44409.03,68192.23,53600,5.3,0.8,1.9,15.2,7.4,2.2,16,0.126237821,773,6.098864727,2753,21.72079508,4540,35.81998171,38.8,41
29,CZ02,29,1326876,671941,0.506408285,654935,124.4,10053,0.757644271,15500,20632.19,31681.73,23800,7,1,3.7,20.9,9.9,3.1,9,0.067828493,366,2.758358731,1570,11.83230385,2009,15.14082703,19,40.7
30,CZ03,30,1214450,614356,0.505871794,600094,70.9,2870,0.236320968,14600,17788.39,27314.93,22500,7.2,1.2,3.5,19,8.8,3.1,10,0.082341801,411,3.384248014,778,6.406192103,1058,8.711762526,17.1,42.1
31,CZ04,31,1120654,565601,0.50470618,555053,132.1,-1381,-0.123231613,11900,13300.32,20423.29,18200,14,2.5,4.3,29,10.4,5.2,15,0.133850412,630,5.621717319,1175,10.48494897,1594,14.22383715,12.6,41.7
32,CZ05,32,1507209,764984,0.507550048,742225,123.1,509,0.03377103,13900,20890.78,32078.82,21300,11.1,1.5,7.4,30.5,14.1,4,13,0.086252139,363,2.408425109,905,6.004475823,1440,9.554083077,17.2,41.9
33,CZ06,33,1684500,856000,0.50816266,828500,123,1499,0.08898783,15400,25942.75,39836.36,23600,12.8,1.5,4.5,31.2,9,3.7,15,0.089047195,434,2.576432176,1330,7.895517958,821,4.873849807,23.2,41.7
34,CZ07,34,1219394,622952,0.510870154,596442,133.6,-1406,-0.115303175,13600,16618.19,25518.04,21000,9.3,1.5,3.2,23.3,8.7,3.9,13,0.106610333,329,2.698061496,593,4.863071329,730,5.986580219,17,42.2
35,CZ08,35,1213311,618899,0.510090982,594412,228,-2351,-0.193767303,13900,16788.48,25779.53,21300,22.3,3.7,6.1,42.3,13.4,6.9,12,0.098902919,568,4.68140485,987,8.134765118,917,7.557831422,18,42.1
36,DE1,36,10879618,5486230,0.504266786,5393388,308.8,71416,0.656420106,43900,479686.02,454036.63,41600,52.8,0.9,39.8,182.3,6,3.1,72,0.066178794,3249,2.986318086,7844,7.209811962,5050,4.641707089,26.9,44.3
37,DE2,37,12843514,6491342,0.50541791,6352172,184.4,91100,0.709307437,44500,573402.03,542741.52,42100,61.1,0.9,34.2,179.9,4.4,2.5,74,0.05761663,2606,2.029039716,4470,3.480355921,4386,3.41495326,25.9,44.7
38,DE3,38,3520031,1793498,0.50951199,1726533,4193.2,47763,1.356891459,36700,130355.11,123384.86,34800,65,3.5,16.4,146.6,12.2,7.8,41,0.116476247,5997,17.03678178,8713,24.75262292,9807,27.86055009,34.5,42.2
39,DE4,39,2484826,1256543,0.505686515,1228283,85.8,19678,0.791926678,27000,67324.91,63724.96,25600,28.8,2.2,8.1,60,10.1,4.6,40,0.160977066,1221,4.913824952,2839,11.42534729,5311,21.37372999,24.5,49.6
40,DE5,40,671489,340594,0.50722201,330895,1726.7,7860,1.17053295,47700,32205.21,30483.15,45200,6.2,1.8, ,18.4, ,5.3,10,0.148922767,1268,18.88340688,2877,42.84508011,915,13.6264332,23.5,44.3
41,DE6,41,1787408,914346,0.511548566,873062,2533.7,18817,1.052753484,62900,113165.06,107113.99,59500,14.3,1.5,6.6,40.1,7.5,4.1,18,0.100704484,2650,14.82593789,7536,42.16161056,3453,19.31847681,31.9,41.5
42,DE7,42,6176172,3128442,0.506534144,3047730,294.4,40266,0.651957232,43700,270430.53,255970.28,41300,44.5,1.4,27.6,127.1,8.4,3.9,61,0.098766679,3574,5.786755939,9974,16.14916165,5018,8.124773727,26.3,45
43,DE8,43,1612362,814530,0.505178118,797832,71.4,5315,0.329640614,25500,41170.85,38969.39,24200,24.6,3, ,50.8, ,6.3,10,0.062020812,822,5.098110722,1263,7.833228518,2289,14.1965638,23.3,49.4
44,DE9,44,7926599,4011201,0.506043134,3915398,167.6,36239,0.457182204,35100,278332.93,263450.12,33200,64.6,1.6,29.4,163.9,7,4,78,0.098402859,4209,5.309969635,11844,14.94209559,6242,7.874751832,19.6,46.1
45,DEA,45,17865516,9097497,0.50922106,8768019,528.3,53559,0.29978983,37500,671111.24,635226.1,35500,172.3,1.9,65,401.9,7.4,4.5,120,0.067168505,14500,8.116194349,44769,25.05888999,23336,13.06203526,22.3,45.4
46,DEB,46,4052803,2053470,0.506678958,1999333,205.9,21595,0.532841098,34400,139472.5,132014.73,32500,30.7,1.5,16.8,76.8,7.3,3.6,27,0.066620559,1562,3.85412269,4581,11.30328812,3071,7.577471691,22,46.4
47,DEC,47,995597,506966,0.509208043,488631,388.4,5736,0.57613673,34600,34511.92,32666.53,32800,8.7,1.7,5.4,24.4,10.1,4.8,16,0.160707596,546,5.484146698,1696,17.03500513,818,8.216175822,19.7,48.4
48,DED,48,4084851,2073290,0.507555845,2011561,224.7,12321,0.301626669,29100,118737.07,112388.05,27500,53.8,2.6,11.6,104.4,8.2,5,35,0.08568244,1944,4.759047515,3220,7.882784464,5901,14.44605935,25.7,48.5
49,DEE,49,2245470,1138781,0.507145943,1106689,110.7,4143,0.184504803,26500,59484.69,56303.97,25100,49.3,4.4,7.8,83.2,10.6,7.4,26,0.115788677,1350,6.01210437,2299,10.23839107,3172,14.12621856,20.7,50.1
50,DEF,50,2858714,1459256,0.510458899,1399458,186.3,31671,1.107875779,31400,90109.46,85291.2,29700,19.8,1.4,10.7,57.7,7.5,4,35,0.122432674,1926,6.737295161,6778,23.70996189,3302,11.5506483,20.6,46.9
51,DEG,51,2170714,1095575,0.504707207,1075139,134.1,-2749,-0.126640359,27800,60250.48,57028.81,26300,26.7,2.4,7.4,56.7,10.1,5.1,27,0.124383037,742,3.418230131,644,2.966765774,1409,6.490951825,24.2,49.3
52,EE00,52,1315944,699236,0.531356957,616708,30.3,1030,0.078270808,16500,21682.65,29577.05,22500,14.8,2.1,7.6,46.7,13.4,6.8, ,, ,, ,, ,,34.1,41.6
53,ES11,53,2720102,1405468,0.5166968,1314634,92.4,2809,0.103268186,21400,57958.87,64326.15,23700,111.6,8.9,25,215.4,40.3,17.2,17,0.062497656,1440,5.293919125,2731,10.04006467,1934,7.110027492,33.4,46.7
54,ES12,54,1040925,542979,0.521631241,497946,98.2,234,0.022480006,20800,21597.59,23970.27,23100,46.5,9.9,10.1,82.6,47.9,17.6,19,0.182529961,612,5.879386123,770,7.397266854,665,6.388548647,38,48.3
55,ES13,55,582504,297954,0.5115055,284550,110.5,678,0.116394051,21600,12571.26,13952.33,24000,19.5,7.1,4,41.1,32.2,14.9,2,0.034334528,397,6.815403843,604,10.36902751,396,6.798236579,36.4,45.2
56,ES21,56,2164066,1114576,0.515037896,1049490,301.2,6234,0.288068848,31600,68391.95,75905.39,35100,66.8,6.5,16.8,129.9,34.9,12.6,10,0.046209312,2791,12.89701885,4366,20.17498542,1179,5.448077831,45.4,45.7
57,ES22,57,637486,321548,0.504400097,315938,61.7,2700,0.423538713,29900,19055.93,21149.39,33100,18.3,6,6.2,38.1,33.9,12.5,3,0.047059857,218,3.419682942,854,13.39637263,207,3.247130133,40.7,43.1
58,ES23,58,312810,158294,0.50603881,154516,62.2,119,0.038042262,25400,7944.56,8817.33,28200,8.6,5.6,2.9,20.8,36.3,13.5,2,0.063936575,220,7.033023241,489,15.63249257,165,5.274767431,34.1,43.9
59,ES24,59,1318571,665602,0.504790413,652969,27.8,53,0.004019503,26400,34698.77,38510.73,29200,43.8,6.7,15,95.8,36.7,14.7,10,0.075839678,1620,12.28602783,2184,16.56338567,1017,7.712895248,33.3,44.4
60,ES30,60,6424275,3339528,0.519829553,3084747,809.2,34517,0.5372902,32900,211781.88,235047.96,36500,264.6,7.9,81.8,528.8,40.7,15.7,51,0.07938639,20832,32.42700538,13005,20.24352943,13739,21.3860708,42.6,41.8
61,ES41,61,2454454,1240899,0.505570282,1213555,26.1,-6742,-0.274684309,22600,55211.84,61277.33,25100,87,7.6,24.4,181.4,39,15.8,10,0.040742259,1321,5.382052383,2802,11.41598091,1410,5.744658486,31.7,47.4
62,ES42,62,2048900,1018791,0.49723803,1030109,25.8,-6571,-0.320708673,19000,38748.6,43005.47,21000,115.7,11.8,35.9,231.6,50.9,23.5,12,0.058568012,1220,5.954414564,5049,24.64249109,1876,9.156132559,25,42.1
63,ES43,63,1084969,545501,0.502780264,539468,26.4,-4990,-0.459920975,16800,18134.01,20126.19,18600,60.8,12.1,19.4,138,50.3,27.5,3,0.02765056,441,4.064632261,1187,10.94040475,610,5.622280452,23.1,43.7
64,ES51,64,7408290,3780350,0.510286449,3627940,232.3,27375,0.369518472,28800,213930.54,237432.66,32000,318.3,8.4,90.5,593.6,34.3,15.7,97,0.130934399,25154,33.9538544,21337,28.8015183,12538,16.92428347,35.4,42.4
65,ES52,65,4932347,2496299,0.506107741,2436048,213.3,3535,0.071669735,21100,104187.81,115633.75,23500,240.9,9.9,76.9,501.6,45.5,20.6,46,0.093261889,10385,21.05488523,23268,47.17429654,8033,16.28636428,30.4,42.9
66,ES53,66,1135527,567982,0.500192422,567545,229.9,12758,1.123531189,25500,29134.15,32334.79,28300,30.3,4.9,16.4,85.6,38.9,13.9,6,0.052838902,1476,12.99836992,3476,30.61133729,1970,17.34877286,26.4,40.7
67,ES61,67,8403774,4248500,0.505546675,4155274,96.9,-4830,-0.057474178,17800,149691.5,166136.4,19800,500.7,12.6,163.9,1151.1,57.9,28.9,78,0.092815442,12194,14.51014746,20541,24.44258972,14065,16.73652814,26.5,41
68,ES62,68,1466474,731366,0.498724151,735108,130,1856,0.12656208,19800,29115.52,32314.12,22000,64.3,9.2,25.3,138.6,45.7,19.8,15,0.102286164,1581,10.78096168,4972,33.90445381,2393,16.31805269,25.6,39.8
69,ES63,69,84652,41624,0.491707225,43028,4242.2,-170,-0.20082219,19400,1641.45,1821.78,21500,5.7,15.2,1.8,9.3,63.3,24.9,1,0.1181307,189,22.32670226,93,10.98615508,436,51.50498512,25,36.3
70,ES70,71,2135209,1073718,0.502863186,1061491,289.1,18645,0.873216627,19900,42665.71,47352.9,22100,156.3,14.2,37.2,286.7,51.3,26.1,17,0.079617499,1944,9.104495157,3750,17.56268356,2929,13.71762671,26.6,41.8
71,FI19,72,1379116,696131,0.504766097,682985,23.7,2601,0.188599074,34800,48039.11,38869.67,28200,17.3,2.6,17.7,61.5,21.4,9.4,26,0.188526563,261,1.892516656,1678,12.16721436,1837,13.32012681,34.2,43
72,FI1B,73,1620261,832766,0.51397028,787495,179.1,12915,0.797093802,51700,84256.2,68173.84,41800,14.2,1.6,17,64.3,17,7.4,26,0.160467974,651,4.017871195,1544,9.529328917,4275,26.38463803,43.3,39.3
73,FI1C,74,1160491,592287,0.510376211,568204,36.9,1936,0.166825938,34600,40148.79,32485.41,28000,14.1,2.6,12.6,49.4,20,9.1,13,0.112021549,284,2.447240004,1482,12.77045664,2754,23.73133441,32.5,45.5
74,FI1D,75,1298457,650136,0.500698906,648321,6.4,-589,-0.045361533,32600,42252.51,34187.58,26400,15.1,2.5,17.6,60.9,23.2,10.2,47,0.36196809,287,2.210315783,1712,13.18488021,2244,17.28205093,31,44.4
