,domain,area,pop_16,fem_16,fem_p_16,male_16,popdens_16,netmig_16,netmig_r_16,gdp_eurhab_16,gdp_mil_16,pps_16,pps_hab_16,loun_ths_16,loun_p_act_16,un1524_ths_16,unall_ths_2016,unra1524_16,unraall_16,hcide_10,hcide_r_10,robb_10,robb_r_10,burg_10,burg_r_10,vthft_10,vthft_r_10,he_p_16,medage_16
116,ITG1,136,5074261,2607531,0.51387404,2466730,199.4,-9272,-0.182726115,17200,87025.2,88692.1,17500,245.7,14.2,83.7,383,57.2,22.1,65,0.128097471,5100,10.05072463,11321,22.31063794,25557,50.36595477,11.3,43.5
117,ITG2,137,1658138,844899,0.509546853,813239,69.3,613,0.036969179,20200,33469.02,34110.09,20600,64.5,9.5,19.8,117.2,56.3,17.3,16,0.096493778,492,2.967183672,2505,15.10730711,2894,17.45331209,13.6,46.6
118,ITH1,138,520891,263943,0.506714457,256948,70.9,2167,0.416017938,42300,22101.23,22524.56,43100,2.8,1.1,1.9,9.7,8.8,3.7, ,, ,, ,, ,,14.1,43
119,ITH2,139,538223,274953,0.510853308,263270,87.7,698,0.129686022,35100,18885.37,19247.11,35700,6.3,2.6,3.7,17,24.2,6.8, ,, ,, ,, ,,16.6,44.9
120,ITH3,140,4915123,2518601,0.512418713,2396522,279.5,2395,0.048727163,32100,157723.48,160744.55,32700,75.5,3.4,24.6,151.1,18.7,6.8, ,, ,, ,, ,,14.5,45.9
121,ITH4,141,1221218,629894,0.515791611,591324,161.4,2269,0.185798113,30300,36975.83,37684.07,30900,17.9,3.3,8.2,40.6,28.5,7.5, ,, ,, ,, ,,15.7,48.1
122,ITH5,142,4448146,2292740,0.515437218,2155406,198.1,15494,0.348324898,34600,153768.38,156713.7,35200,71.3,3.4,24.9,146.8,22,6.9, ,, ,, ,, ,,18.7,46.5
123,ITI1,143,3744398,1942930,0.518889819,1801468,165.2,13600,0.363209253,30000,112321.13,114472.55,30600,83.2,4.8,30.3,164,34,9.5, ,, ,, ,, ,,18,47.4
124,ITI2,144,891181,463519,0.520117687,427662,107.9,1626,0.182454518,24200,21563.75,21976.79,24700,19.2,4.9,6.8,37.5,33.1,9.6, ,, ,, ,, ,,18.2,47.1
125,ITI3,145,1543752,796115,0.515701356,747637,163.9,143,0.009263146,26700,41084.03,41870.97,27200,36.8,5.3,12.7,73.5,31,10.6, ,, ,, ,, ,,17.3,46.7
126,ITI4,146,5888472,3049856,0.517936741,2838616,348.8,18895,0.320881207,32200,189982.04,193620.99,32900,159.1,6.1,55.7,292.5,41.6,11.1, ,, ,, ,, ,,20.4,45.1
127,LT00,147,2888558,1558951,0.539698701,1329607,45.8,-30171,-1.044500405, , , , , , , , , , ,217,0.751239892,2727,9.440696707,4905,16.98079111,2060,7.131586072,NA,NA
128,NL11,148,583721,292663,0.501374801,291058,247.3,37,0.006338645,40200,23459.71,21066.51,36100,10,3.3,8.5,24.7,15,8.2, ,,288,4.933863952,2864,49.06453597,252,4.317130958,31.2,41.6
129,NL12,149,646040,322664,0.499448951,323376,190.3,1103,0.170732462,28500,18429.68,16549.61,25600,9.1,2.8,6.5,22,12.3,6.7, ,,97,1.501455018,2077,32.14971209,149,2.306358739,22.7,43.9
130,NL13,150,488629,246146,0.503748243,242483,183.5,4039,0.826598503,28400,13916.27,12496.62,25500,6.8,2.8,4.2,15.8,10.9,6.5, ,,83,1.698630249,1794,36.71497189,175,3.58144932,24.5,46.1
131,NL21,151,1144280,570956,0.498965288,573324,340.9,1813,0.158440242,34500,39497.11,35467.89,30900,15.1,2.6,11.2,36.8,11.3,6.2, ,,275,2.403257944,4491,39.247387,415,3.626734715,27.2,41.7
132,NL22,152,2035351,1028387,0.505262729,1006964,408.3,11175,0.549045349,34800,71082.08,63830.77,31300,24.7,2.3,16.3,59.5,9.4,5.6, ,,720,3.537473389,11338,55.70537956,1666,8.18532037,28.5,43.2
133,NL23,153,404068,201911,0.499695596,202157,282.9,1421,0.351673481,31100,12629.75,11341.35,27900,8.3,3.7,5.8,17.7,16.6,7.9, ,,323,7.99370403,2503,61.94501916,372,9.206371205,25.4,38.3
134,NL31,154,1273613,649138,0.509682298,624475,910.4,6035,0.473848807,50400,64514.47,57933.15,45300,13.5,1.9,9.3,34.7,8.3,5, ,,660,5.182107909,9204,72.26685029,1165,9.147205627,40.4,39.7
135,NL32,155,2784854,1412392,0.507169137,1372462,1016,18029,0.647394801,54600,152850.18,137257.45,49100,33.7,2.2,20.6,83.6,9.3,5.5, ,,3218,11.55536341,19263,69.17059207,3743,13.44056098,37.2,41.2
136,NL33,156,3622303,1834100,0.506335334,1788203,1260.8,18508,0.510945661,41700,151492.25,136038.05,37400,56.6,3,38.1,133.5,13.2,7.1, ,,3574,9.866651133,23608,65.1740067,4055,11.19453563,31.6,40.9
137,NL34,157,381252,192137,0.503963258,189115,211.5,742,0.19462193,33200,12630.86,11342.35,29800,3.7,1.9,2.2,7.6,7,3.9, ,,91,2.386872725,1484,38.92438597,145,3.803258737,22.5,45.8
138,NL41,158,2498749,1249108,0.499893347,1249641,505.1,12131,0.485482936,41800,104696.69,94016.25,37500,29.9,2.2,20.8,70.7,9.7,5.3, ,,1044,4.178090717,17265,69.09457493,2615,10.4652368,29.8,43.4
139,NL42,159,1116260,562383,0.503810044,553877,517.8,3831,0.343199613,36700,40972.2,36792.5,32900,11.9,2.1,8.7,32,10.4,5.7, ,,519,4.649454428,6810,61.00729221,1737,15.56089083,25.9,47
140,NO01,160,1251687,626335,0.50039267,625352,249,10980,0.877216109,75300,95106.69,62716.8,49700,8.4,1.2,8.2,32.7,10.4,4.6,13,0.103859831,1030,8.228894284,1773,14.16488307,3293,26.30849406,46.4,37.1
141,NO02,161,384221,192088,0.49994144,192133,7.6,2136,0.555930051,42600,16391.17,10808.93,28100,2.7,1.4,3.2,8.7,12.5,4.5,1,0.026026688,32,0.832854009,626,16.29270654,620,16.13654641,30.1,43.9
142,NO03,162,984764,492157,0.499771519,492607,28.9,7317,0.743020663,43100,42669.28,28137.67,28400,6.1,1.2,8.6,25.4,13.2,5.1,4,0.040618869,152,1.543517025,1936,19.65953264,2502,25.40710262,31.6,41.7
143,NO04,163,768179,379212,0.493650568,388967,31.7,517,0.067302022,54200,41729.37,27517.86,35700,6.3,1.6,7.1,22.4,12.5,5.5,4,0.052071197,188,2.447346257,1345,17.50893997,1795,23.36694963,33.9,37.3
144,NO05,164,890719,438449,0.492241661,452270,18.9,2653,0.297849266,55500,49656.83,32745.52,36600,6.1,1.3,7,22.7,10.9,4.8,3,0.033680656,148,1.661579017,765,8.588567214,958,10.75535607,36.1,38.9
145,NO06,165,449457,221969,0.493860369,227488,11.5,3568,0.793846797,52000,23500.22,15496.9,34300,1.8,0.7,2.9,9.6,8.5,4,1,0.022249069,55,1.223698819,441,9.81183962,1071,23.82875336,36.4,38.9
146,NO07,166,481694,236886,0.491776937,244808,4.4,2261,0.469385128,51300,24769.85,16334.14,33800,1.9,0.8,3.1,8,8.9,3.2,3,0.062280203,22,0.456721487,338,7.016902847,477,9.902552243,32.8,41.1
147,PL11,167,2479350,1297450,0.523302478,1181900,136.7,-311,-0.01254361,10400,25778.4,46302.85,18600,25.4,2.2,11.5,64.8,12.7,5.5,34,0.137132716,1543,6.223405328,2554,10.30108698,1778,7.171234396,,
148,PL12,168,5323267,2775446,0.521380198,2547821,151.3,13498,0.25356609, , , , , , , , , , ,62,0.11646983,2520,4.733935006,5464,10.26437336,3309,6.216107514,,
149,PL21,169,3330031,1713632,0.514599414,1616399,221.9,4157,0.124833673,10100,33943.35,60968.64,18100,30.5,2.1,20.3,77.4,17.1,5.2,24,0.072071401,2330,6.99693186,2921,8.771690113,1032,3.099070249,26.5,38.7
150,PL22,170,4520567,2338825,0.517374259,2181742,371.6,-3823,-0.084569037,11500,52498.38,94296.96,20700,39.2,2,25.8,107.3,17,5.4,63,0.139363049,3818,8.445843187,6949,15.37196551,2569,5.68291544,24.1,41.4
151,PL31,171,2118528,1091555,0.515242187,1026973,84.9,-3123,-0.147413676,7600,16333.53,29338.1,13700,30.9,3.3,17.3,75.2,22.7,8,23,0.108565948,736,3.474110326,1266,5.975847381,167,0.788283185,,
152,PL32,172,2083496,1062743,0.510076813,1020753,117.7,67,0.003215749,7800,16630.87,29872.18,14000,31.5,3.4,25.7,88,31.6,9.6,9,0.043196627,376,1.804659092,831,3.988488579,113,0.542357653,,
153,PL33,173,1241895,635990,0.512112538,605905,106.5,-1039,-0.083662467,7900,9957.04,17884.72,14300,19.7,3.5,11.7,50,24.7,8.9,15,0.120783158,409,3.293354108,518,4.171045056,197,1.586285475,,
154,PL34,174,1158945,593678,0.512257268,565267,57.9,-1100,-0.094913909,7900,9335.12,16767.62,14100,14.4,2.8,7.8,34.5,18.9,6.7,11,0.094913909,491,4.236611746,812,7.006372175,130,1.121709831,,
155,PL41,175,3450966,1771686,0.513388425,1679280,117.1,597,0.017299504,12100,42119.98,75655.39,21800,33,2,15,78.6,10.6,4.8,26,0.075341223,912,2.642738294,2022,5.859228981,2055,5.95485438,22.6,38.7
156,PL42,176,1684025,864227,0.513191312,819798,77,-1420,-0.084321789,9300,15898.68,28557.01,16700,15.8,2.2,12.1,50.2,23.1,6.9,36,0.213773548,775,4.602069447,2337,13.87746619,518,3.075963837,22.7,40.6
157,PL43,177,1005159,515309,0.512664166,489850,72.8,-46,-0.00457639,9300,9476,17020.68,16700,5.2,1.2, ,20.9, ,4.7,14,0.139281447,410,4.078956663,1072,10.66497937,465,4.626133776,19.6,39.6
158,PL51,178,2864624,1486007,0.51874417,1378617,144.9,4708,0.164349667,12300,35711.83,64145.16,22100,22.3,1.7,14.2,71.5,14.8,5.5,39,0.136143522,2340,8.168611308,4037,14.09259994,1517,5.295633912,25.4,40.8
159,PL52,179,952557,490700,0.515139776,461857,102.2,-475,-0.049865782,8800,8786.1,15781.48,15900, , , ,20.7, ,5,11,0.115478654,250,2.624514858,1138,11.94679164,181,1.900148758,21.7,41.6
160,PL61,180,2062006,1063125,0.515578034,998881,117.3,-746,-0.036178362,9100,18872.35,33898.29,16300,26.5,2.9,16.5,68.1,20,7.4,17,0.082443989,762,3.695430566,2130,10.32974686,823,3.991258997,20.7,39.8
161,PL62,181,1414734,722161,0.510457089,692573,61.5,-3458,-0.244427574,7900,11372.66,20427.43,14200,16.2,2.7,13.1,52.7,23.9,8.8,22,0.155506265,472,3.336316226,1270,8.976952558,367,2.594127235,20.1,39.1
162,PL63,182,2277059,1167635,0.512782058,1109424,129,4021,0.176587431,10800,24854.72,44643.75,19300,18.1,1.7,15.7,59.8,17.4,5.7,30,0.131748892,1215,5.335830121,2620,11.50606989,1318,5.788167983,26.4,38.7
163,PT11,183,3603778,1893890,0.525529042,1709888,170.2,-13233,-0.367197979,15300,55049.38,68837.16,19200,129.5,7.1,39.2,218.3,27.8,12,25,0.069371643,4411,12.23993265,8474,23.51421203,7410,20.56175491,18.4,43.8
164,PT15,184,441929,230045,0.520547418,211884,89.5,592,0.13395817,19200,8500.99,10630.17,24100,8.9,4, ,20.6, ,9.2,11,0.248908761,1109,25.09452876,4058,91.82470487,958,21.67769031,18.8,43.5
165,PT16,185,2256364,1186368,0.525787506,1069996,80.4,-621,-0.027522155,15700,35342.22,44194.1,19600,48.5,4.2,20.1,96,26.8,8.4,24,0.106365817,1420,6.293310831,5568,24.67686951,4185,18.54753932,21.2,46
166,PT17,186,2812678,1491783,0.530378166,1320895,1002.5,7209,0.256303779,23800,66955.92,83725.84,29700,91.9,6.6,25.5,166.3,27.8,11.9,44,0.156434544,12501,44.44518711,5872,20.87690095,6587,23.41896228,28.8,43.1
167,PT18,187,724391,375532,0.518410637,348859,23.2,-1128,-0.155717009,16800,12120.97,15156.81,21000,20.4,5.9,6.5,41.5,30.8,12.1,12,0.165656393,529,7.30268598,1259,17.38011654,866,11.95486968,16.8,46.6
168,SE11,190,2231439,1120812,0.50228216,1110627,344.9,24077,1.078989836,65400,147048.68,112505.18,50000,15.8,1.2,25.2,82.9,17.7,6.5,24,0.107553915,3036,13.60557022,6127,27.45761816,9696,43.45178156,43.6,38.2
169,SE12,191,1638825,818017,0.499148475,820808,43,21988,1.341692981,40000,66036.44,50523.69,30600,12.7,1.5,21.2,65.8,19.3,7.7,7,0.04271353,1120,6.834164722,2232,13.61951398,5077,30.97951276,32.6,41.3
170,SE21,192,834276,414117,0.496378896,420159,25.4,12311,1.475650744,39900,33556.53,25673.7,30500,3.8,0.9,10.9,27.3,19,6.2,12,0.143837291,299,3.58394584,1369,16.40943764,2250,26.96949211,28.7,42.9
171,SE22,193,1459880,732130,0.501500123,727750,105.9,19270,1.319971505,39700,58374.34,44661.51,30400,13.8,1.8,19.1,64,21,8.4,10,0.068498781,2013,13.78880456,4330,29.65997205,4672,32.00263035,37.1,40.7
172,SE23,194,1963466,980543,0.499393929,982923,67.7,23159,1.179495851,45500,90086.59,68924.17,34800,10.9,1,24.1,68.8,18.1,6.5,23,0.117139793,2056,10.47127885,3909,19.90867171,8097,41.23830003,34.3,40.8
173,SE31,195,838747,417252,0.497470632,421495,13.3,10292,1.227068472,37500,31686.08,24242.64,28700,6.2,1.5,10.6,31.5,21.8,7.5,5,0.059612732,385,4.590180352,985,11.74370817,2867,34.18194044,27.6,44.7
174,SE32,196,371273,184434,0.496761143,186839,5.3,3369,0.90741853,39200,14621.42,11186.68,30000,1.9,1,5,12.9,21.6,6.8,6,0.16160615,121,3.259057351,407,10.96228382,1133,30.51662793,27.9,44.5
175,SE33,197,513111,252746,0.492575681,260365,3.4,3227,0.628908755,42000,21633.08,16551.21,32100,2.4,0.9,5.4,15.9,15,5.8,4,0.077955842,189,3.68341353,415,8.087918599,1217,23.7180649,32.3,42.9
176,UKC,104,2630654,1340086,0.509411728,1290568,307.4,9294,0.353296177,26800,70655.72,60295.1,22900,31.6,2.5,33.5,90.3,17.1,7, , , , , ,, ,,31,41.7
177,UKD,105,7199476,3650371,0.507032873,3549105,511.9,26982,0.374777275,31700,228867.06,195307.09,27000,48.7,1.4,65.2,175.8,13.3,5, , , , , ,, ,,35,40.4
178,UKE,106,5407699,2739587,0.506608633,2668112,351.9,17747,0.328180248,28700,155951.72,133083.71,24500,46.9,1.7,59.6,150.9,15.2,5.6, , , , , ,, ,,31.8,40.1
179,UKF,107,4701311,2378953,0.506019066,2322358,302.8,37908,0.806328277,29200,137982.93,117749.77,24900,22.7,1,36.6,106.5,10.8,4.5, , , , , ,, ,,32.2,41.3
180,UKG,108,5782942,2920463,0.505013365,2862479,446.9,35579,0.615240478,30200,175677.84,149917.28,25800,52.1,1.8,53.8,159.5,14,5.6, , , , , ,, ,,32.1,39.7
181,UKH,109,6102398,3095079,0.507190616,3007319,320.6,30094,0.493150398,32800,201042.73,171562.79,28000,29.2,0.9,47.9,123.2,11.7,3.9, , , , , ,, ,,35.1,41.4
182,UKI,110,8718245,4380927,0.502501019,4337318,5570.6,-1176,-0.013488953,64600,566188.77,483165.55,55100,64.8,1.4,84.7,266.9,16.3,5.6, , , , , ,, ,,52.4,34.7
183,UKJ,111,8989881,4562648,0.507531523,4427233,473.1,44213,0.491808512,39300,355103,303032.39,33600,30.7,0.7,64,163.7,10.5,3.5, , , , , ,, ,,40.9,41.2
184,UKK,112,5494303,2793781,0.508486882,2700522,231.4,43610,0.793731252,31600,174214.77,148668.75,26900,25.8,0.9,39.5,105.6,10.6,3.8, , , , , ,, ,,38.2,43.4
185,UKL,113,3106222,1576375,0.507489484,1529847,150.1,13163,0.423762371,26500,82523.15,70422.35,22600,19,1.3,26.6,66.8,12.4,4.4, , , , , ,, ,,34.8,42.2
186,UKM,114,5388865,2769878,0.514000258,2618987,69.3,28080,0.521074475,33900,183366.83,156478.79,29000,39,1.4,47,139.6,12.3,5.1,88,0.163299693,2557,4.744969488,17657,32.76571226,8716,16.17409232,44.1,41.8
187,UKN,115,1857048,944836,0.508783833,912212,137.3,873,0.047010093,28100,52320.13,44648.16,24000,23.2,2.6,17.6,50.8,14.5,5.7,28,0.150776932,1306,7.032666899,7081,38.13040912,2719,14.64151707,31.1,38.3
